timestamp,proc_cpu_pct,proc_mem_mb,sys_cpu_pct,sys_mem_pct
2025-10-03T21:18:03,1.0,567.81640625,5.7,3.0
2025-10-03T21:18:04,1.0,567.81640625,5.8,3.0
2025-10-03T21:18:05,0.0,567.81640625,5.9,3.0
2025-10-03T21:18:06,0.0,567.81640625,5.7,3.0
2025-10-03T21:18:07,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:08,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:09,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:10,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:11,1.0,567.81640625,5.8,3.0
2025-10-03T21:18:12,0.0,567.81640625,5.7,3.0
2025-10-03T21:18:13,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:14,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:15,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:16,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:17,1.0,567.81640625,5.9,3.0
2025-10-03T21:18:18,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:19,0.0,567.81640625,5.7,3.0
2025-10-03T21:18:20,1.0,567.81640625,5.8,3.0
2025-10-03T21:18:21,0.0,567.81640625,5.7,3.0
2025-10-03T21:18:22,0.0,567.81640625,6.1,3.0
2025-10-03T21:18:23,1.0,567.81640625,5.8,3.0
2025-10-03T21:18:24,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:25,0.0,567.81640625,5.7,3.0
2025-10-03T21:18:26,0.0,567.81640625,5.9,3.0
2025-10-03T21:18:27,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:28,0.0,567.81640625,5.7,3.0
2025-10-03T21:18:29,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:30,1.0,567.81640625,5.9,3.0
2025-10-03T21:18:31,0.0,567.81640625,5.7,3.0
2025-10-03T21:18:32,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:33,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:34,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:35,1.0,567.81640625,5.8,3.0
2025-10-03T21:18:36,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:37,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:38,0.0,567.81640625,5.9,3.0
2025-10-03T21:18:39,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:40,0.0,567.81640625,5.7,3.0
2025-10-03T21:18:41,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:42,0.0,567.81640625,5.9,3.0
2025-10-03T21:18:43,1.0,567.81640625,5.7,3.0
2025-10-03T21:18:44,0.0,567.81640625,5.7,3.0
2025-10-03T21:18:45,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:46,0.0,567.81640625,5.9,3.0
2025-10-03T21:18:47,0.0,567.81640625,5.7,3.0
2025-10-03T21:18:48,1.0,567.81640625,5.8,3.0
2025-10-03T21:18:49,0.0,567.81640625,5.7,3.0
2025-10-03T21:18:50,0.0,567.81640625,5.9,3.0
2025-10-03T21:18:51,1.0,567.81640625,5.9,3.0
2025-10-03T21:18:52,0.0,567.81640625,5.9,3.0
2025-10-03T21:18:53,0.0,567.81640625,5.7,3.0
2025-10-03T21:18:54,0.0,567.81640625,5.9,3.0
2025-10-03T21:18:55,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:56,0.0,567.81640625,5.7,3.0
2025-10-03T21:18:57,0.0,567.81640625,5.8,3.0
2025-10-03T21:18:58,0.0,567.81640625,5.9,3.0
2025-10-03T21:18:59,1.0,567.81640625,5.7,3.0
2025-10-03T21:19:00,0.0,567.81640625,5.8,3.0
2025-10-03T21:19:01,0.0,567.81640625,5.8,3.0
2025-10-03T21:19:02,0.0,567.81640625,5.9,3.0
2025-10-03T21:19:03,0.0,567.81640625,5.8,3.0
2025-10-03T21:19:04,0.0,567.81640625,5.8,3.0
2025-10-03T21:19:05,0.0,567.81640625,5.7,3.0
2025-10-03T21:19:06,1.0,567.81640625,5.9,3.0
2025-10-03T21:19:07,0.0,567.81640625,5.8,3.0
2025-10-03T21:19:08,0.0,567.81640625,5.7,3.0
2025-10-03T21:19:09,1.0,567.81640625,5.8,3.0
2025-10-03T21:19:10,0.0,567.81640625,5.9,3.0
2025-10-03T21:19:11,0.0,567.81640625,5.7,3.0
2025-10-03T21:19:12,0.0,567.81640625,5.7,3.0
2025-10-03T21:19:13,0.0,567.81640625,5.8,3.0
2025-10-03T21:19:14,0.0,567.81640625,5.9,3.0
2025-10-03T21:19:15,1.0,567.81640625,5.8,3.0
2025-10-03T21:19:16,0.0,567.81640625,5.8,3.0
